x,y1,y2
216,285,1793
319,39,459
155,89,223
157,280,2046
194,90,873
336,68,591
331,2,9
456,59,171
29,96,119
68,529,2555
88,549,2854
64,253,1166
110,648,3967
112,46,157
82,87,601
83,54,409
475,111,457
490,22,222
84,7,51
85,195,927
26,221,855
46,14,99
249,149,811
43,7,36
41,31,332
182,273,1310
346,217,1273
435,89,942
324,42,374
6,54,374
493,182,1122
422,316,989
424,216,1174
287,304,1139
361,62,605
146,14,101
200,162,529
205,43,108
143,8,43
302,104,1077
369,243,1344
462,12,118
120,47,194
75,77,340
123,24,97
487,491,2624
72,172,1173
489,34,342
370,21,140
128,55,569
437,121,486
160,20,87
97,70,265
13,211,1411
38,52,269
114,15,44
469,409,3419
54,23,212
117,200,1639
131,40,257
410,6,13
500,128,978
412,30,135
18,2,46
238,42,201
373,69,503
295,18,67
388,74,788
430,340,1737
